anio,indicador,etiqueta,nivel,est,se,li,ls,n
2008,vh_dmcs,Hogar víctima de delito (DMCS),hogar,31.8968695632695,0.421533860022838,31.0706783793606,32.7230607471784,25931
2008,rfv,Robo con fuerza en la vivienda,hogar,5.00126275261341,0.189180707793087,4.63047537876916,5.37205012645766,25931
2008,rdv,Robo de vehículo (hogares con vehículo),hogar,1.69093278413338,0.180884909571734,1.336404876026,2.04546069224077,9933
2008,rddv,Robo desde vehículo (hogares con vehículo),hogar,18.5826488613217,0.566140331940168,17.4730342005234,19.69226352212,9933
2008,pad,Percepción: aumentó la delincuencia en el país,persona,80.3818855102379,0.419680354862446,79.5593271296885,81.2044438907873,25931
2008,rvi,Robo con violencia o intimidación,persona,7.56946579902575,0.295323831682756,6.99064172515118,8.14828987290032,25931
2008,rps,Robo por sorpresa,persona,9.10450483275188,0.311752672314972,8.49348082293042,9.71552884257334,25931
2008,hur,Hurto,persona,10.2911426016475,0.349629780100705,9.60588082472745,10.9764043785675,25931
2008,les,Lesiones,persona,3.0377416971465,0.174194507910117,2.69632673533799,3.37915665895501,25931
2009,vh_dmcs,Hogar víctima de delito (DMCS),hogar,30.6689717402029,0.545258464231025,29.6002847880445,31.7376586923613,25933
2009,rfv,Robo con fuerza en la vivienda,hogar,5.1124375696022,0.243083522064068,4.63600262112148,5.58887251808292,25933
2009,rdv,Robo de vehículo (hogares con vehículo),hogar,2.20678333187598,0.235264781577316,1.74567283315375,2.6678938305982,10133
2009,rddv,Robo desde vehículo (hogares con vehículo),hogar,16.9695729425232,0.639832612474662,15.7155240659387,18.2236218191077,10133
2009,pad,Percepción: aumentó la delincuencia en el país,persona,78.4357240504925,0.498715044919377,77.4582605239022,79.4131875770827,25933
2009,rvi,Robo con violencia o intimidación,persona,7.33695450763599,0.358809183069958,6.63370143149663,8.04020758377534,25933
2009,rps,Robo por sorpresa,persona,8.03310890935139,0.337206299774178,7.37219670643398,8.69402111226879,25933
2009,hur,Hurto,persona,9.14834511604301,0.327177546766342,8.50708890783081,9.78960132425521,25933
2009,les,Lesiones,persona,3.42165051121486,0.293882963323893,2.84565048743012,3.9976505349996,25933
2010,vh_dmcs,Hogar víctima de delito (DMCS),hogar,25.5999568981625,0.458302062933761,24.7017013607719,26.498212435553,25933
2010,rfv,Robo con fuerza en la vivienda,hogar,4.03419158760647,0.190905094368125,3.66002447817973,4.40835869703322,25933
2010,rdv,Robo de vehículo (hogares con vehículo),hogar,2.40970373827308,0.386573278627985,1.65203403477666,3.16737344176949,10616
