region16,anio,indicador,etiqueta,est,se,li,ls,region_nombre
1,2018,vh_dmcs,Hogar víctima de delito (DMCS),34.7287630676783,2.86918867968461,29.1052565906464,40.3522695447101,Tarapacá
1,2018,pad,Percepción: aumentó la delincuencia en el país,75.9229464770388,1.54590950400618,72.8930195258285,78.952873428249,Tarapacá
1,2018,rvi,Robo con violencia o intimidación,6.23781601019909,0.962869578952958,4.35062631364205,8.12500570675613,Tarapacá
1,2018,rps,Robo por sorpresa,5.13890064541739,0.960449180437154,3.25645484277956,7.02134644805522,Tarapacá
1,2018,hur,Hurto,9.07568884693127,1.20469187911477,6.71453615139844,11.4368415424641,Tarapacá
1,2019,vh_dmcs,Hogar víctima de delito (DMCS),32.6937203435503,1.84374468633994,29.0800471616369,36.3073935254636,Tarapacá
1,2019,pad,Percepción: aumentó la delincuencia en el país,86.4988602076234,1.12951956457031,84.2850425412322,88.7126778740146,Tarapacá
1,2019,rvi,Robo con violencia o intimidación,3.86361615619978,0.574101933567275,2.73839704295312,4.98883526944645,Tarapacá
1,2019,rps,Robo por sorpresa,3.59322110928949,0.580434073239553,2.45559123034008,4.73085098823889,Tarapacá
1,2019,hur,Hurto,8.15481519464201,0.673093700600643,6.83557578324396,9.47405460604005,Tarapacá
1,2020,vh_dmcs,Hogar víctima de delito (DMCS),27.2991674348069,1.67799718471455,24.0103533866068,30.587981483007,Tarapacá
1,2020,pad,Percepción: aumentó la delincuencia en el país,81.9162750632155,1.46284926094455,79.0491431969531,84.7834069294778,Tarapacá
1,2020,rvi,Robo con violencia o intimidación,3.68453556075293,0.714400532828445,2.28433624587295,5.08473487563291,Tarapacá
1,2020,rps,Robo por sorpresa,4.95871833222675,0.718998786329451,3.54950660609301,6.36793005836048,Tarapacá
1,2020,hur,Hurto,3.6510983428317,0.94177282283775,1.80525752845109,5.49693915721231,Tarapacá
1,2021,vh_dmcs,Hogar víctima de delito (DMCS),30.073989515537,2.12746694034428,25.9042309341626,34.2437480969114,Tarapacá
1,2021,pad,Percepción: aumentó la delincuencia en el país,92.5332378942505,0.971517958631929,90.6290976849981,94.437378103503,Tarapacá
1,2021,rvi,Robo con violencia o intimidación,4.92100381811137,0.706238132392387,3.53680251411346,6.30520512210928,Tarapacá
1,2021,rps,Robo por sorpresa,4.64601041079145,1.06219030239735,2.56415567336493,6.72786514821797,Tarapacá
1,2021,hur,Hurto,3.6778364123412,0.676549937719837,2.35182290066751,5.0038499240149,Tarapacá
1,2022,vh_dmcs,Hogar víctima de delito (DMCS),33.899874088578,1.61532662203705,30.7338920861166,37.0658560910393,Tarapacá
1,2022,pad,Percepción: aumentó la delincuencia en el país,95.1281219827961,0.996378526488497,93.1752559559095,97.0809880096826,Tarapacá
1,2022,rvi,Robo con violencia o intimidación,8.2264098956052,1.25588184286814,5.76492671474587,10.6878930764645,Tarapacá
1,2022,rps,Robo por sorpresa,5.30357985587452,0.937574492084365,3.46596761856573,7.14119209318331,Tarapacá
1,2022,hur,Hurto,2.99765855327396,0.603575892538628,1.81467154196163,4.18064556458629,Tarapacá
1,2023,vh_dmcs,Hogar víctima de delito (DMCS),28.7798809050702,1.30481671089241,26.2224871452951,31.3372746648454,Tarapacá
1,2023,pad,Percepción: aumentó la delincuencia en el país,86.0961426676351,1.05583005002922,84.0267537957827,88.1655315394874,Tarapacá
1,2023,rvi,Robo con violencia o intimidación,3.75847639126709,0.551627606599227,2.67730614945458,4.8396466330796,Tarapacá
1,2023,rps,Robo por sorpresa,3.31410063856785,0.527682594919781,2.27986175725644,4.34833951987926,Tarapacá
1,2023,hur,Hurto,4.20990103253252,0.600617350178896,3.032712657692,5.38708940737304,Tarapacá
1,2024,vh_dmcs,Hogar víctima de delito (DMCS),35.001914504529,1.67043665086418,31.7279188303795,38.2759101786785,Tarapacá
1,2024,pad,Percepción: aumentó la delincuencia en el país,88.5317902112482,1.04742676254531,86.4788714802161,90.5847089422804,Tarapacá
1,2024,rvi,Robo con violencia o intimidación,4.1952554117723,0.643613397897639,2.93379633192548,5.45671449161912,Tarapacá
1,2024,rps,Robo por sorpresa,3.12596071004426,0.626182225347491,1.89866610060404,4.35325531948449,Tarapacá
1,2024,hur,Hurto,7.05603637976334,0.963927854160741,5.16677250191331,8.94530025761337,Tarapacá
2,2018,vh_dmcs,Hogar víctima de delito (DMCS),22.4820607922222,1.65798647615034,19.2324670121131,25.7316545723314,Antofagasta
2,2018,pad,Percepción: aumentó la delincuencia en el país,80.2122548429301,1.46515832926958,77.3405972859129,83.0839123999474,Antofagasta
2,2018,rvi,Robo con violencia o intimidación,3.91095038954359,0.674324378368959,2.58929889404307,5.23260188504411,Antofagasta
2,2018,rps,Robo por sorpresa,3.59276931653068,0.711090819761306,2.19905692006146,4.98648171299991,Antofagasta
2,2018,hur,Hurto,5.86986038943201,0.839351487998562,4.22476170258472,7.51495907627929,Antofagasta
2,2019,vh_dmcs,Hogar víctima de delito (DMCS),19.8472552956866,1.69544192739849,16.5242501801064,23.1702604112668,Antofagasta
2,2019,pad,Percepción: aumentó la delincuencia en el país,85.8684830169989,2.03831629128307,81.8734564969828,89.863509537015,Antofagasta
2,2019,rvi,Robo con violencia o intimidación,3.70383329089374,0.789286479044087,2.1568602184829,5.25080636330458,Antofagasta
